98.0  0.0795774683356 0.000702050398104 0.016018813476 0.0184512622654
99.0  0.0795774683356 0.000691571796779 0.0163114722818 0.0183141436428
100.0  0.0795774683356 0.000681429053657 0.0166149772704 0.0181904416531
101.0  0.0795774683356 0.000671609363053 0.0169298015535 0.0180798284709
102.0  0.0795774683356 0.000662100443151 0.0172564461827 0.0179819855839
103.0  0.0795774683356 0.000652890943456 0.017595442012 0.017896592617
104.0  0.0795774683356 0.000643969571684 0.0179473571479 0.017823331058
105.0  0.0795774683356 0.000635325850453 0.0183127820492 0.0177618861198
106.0  0.0795774683356 0.000626949884463 0.0186923481524 0.0177119486034
107.0  0.0795774683356 0.000618832069449 0.0190867260098 0.017673201859
108.0  0.0795774683356 0.000610963383224 0.0194966234267 0.0176453385502
109.0  0.0795774683356 0.000603335211053 0.0199227910489 0.0176280457526
110.0  0.0795774683356 0.00059593905462 0.0203660279512 0.0176210124046
111.0  0.0795774683356 0.000588767288718 0.0208271834999 0.0176239293069
112.0  0.0795774683356 0.000581812288146 0.0213071573526 0.0176364853978
113.0  0.0795774683356 0.000575066776946 0.0218069013208 0.017658367753
114.0  0.0795774683356 0.000568524061237 0.0223274379969 0.0176892671734
115.0  0.0795774683356 0.000562177447136 0.0228698458523 0.0177288707346
116.0  0.0795774683356 0.000556020822842 0.023435274139 0.0177768636495
117.0  0.0795774683356 0.000550047960132 0.024024957791 0.0178329367191
118.0  0.0795774683356 0.000544253387488 0.0246401913464 0.0178967695683
119.0  0.0795774683356 0.000538631458767 0.0252823717892 0.0179680511355
120.0  0.0795774683356 0.000533176935278 0.0259529929608 0.0180464666337
121.0  0.0795774683356 0.000527884869371 0.0266536213458 0.0181316956878
122.0  0.0795774683356 0.000522750371601 0.0273859668523 0.0182234253734
123.0  0.0795774683356 0.000517769018188 0.0281518157572 0.0183213353157
124.0  0.0795774683356 0.000512936210725 0.0289531089365 0.0184251088649
125.0  0.0795774683356 0.000508247758262 0.0297919176519 0.0185344275087
126.0  0.0795774683356 0.000503699644469 0.0306704323739 0.0186489745975
127.0  0.0795774683356 0.00049928802764 0.0315910279751 0.0187684316188
128.0  0.0795774683356 0.000495009240694 0.0325562059879 0.0188924763352
129.0  0.0795774683356 0.000490859616548 0.0335686989129 0.0190207939595
130.0  0.0795774683356 0.000486835779157 0.0346314013004 0.0191530697048
131.0  0.0795774683356 0.000482934468891 0.0357473902404 0.019288983196
132.0  0.0795774683356 0.000479152513435 0.0369200371206 0.0194282215089
133.0  0.0795774683356 0.000475487002404 0.0381528511643 0.0195704679936
134.0  0.0795774683356 0.000471934938105 0.0394497103989 0.0197154115885
135.0  0.0795774683356 0.000468493642984 0.0408146567643 0.019862735644
136.0  0.0795774683356 0.000465160468593 0.04225211218 0.0200121346861
137.0  0.0795774683356 0.000461932766484 0.0437667965889 0.0201633032411
138.0  0.0795774683356 0.00045880820835 0.0453636981547 0.0203159283847
139.0  0.0795774683356 0.000455784436781 0.0470482707024 0.0204697120935
140.0  0.0795774683356 0.000452859181678 0.0488262400031 0.0206243507564
141.0  0.0795774683356 0.000450030376669 0.0507037937641 0.0207795482129
142.0  0.0795774683356 0.000447295838967 0.0526875779033 0.0209350120276
143.0  0.0795774683356 0.000444653705927 0.0547845512629 0.0210904479027
144.0  0.0795774683356 0.000442101998487 0.0570022724569 0.0212455708534
145.0  0.0795774683356 0.000439638999524 0.0593486428261 0.0214000958949
146.0  0.0795774683356 0.000437262904597 0.0618321709335 0.0215537473559
147.0  0.0795774683356 0.000434972112998 0.0644616931677 0.0217062477022
148.0  0.0795774683356 0.000432764994912 0.0672466382384 0.0218573268503
149.0  0.0795774683356 0.000430640036939 0.0701968744397 0.0220067221671
150.0  0.0795774683356 0.000428595812991 0.0733225643635 0.0221541710198
151.0  0.0795774683356 0.000426630955189 0.0766343399882 0.0222994238138
152.0  0.0795774683356 0.000424744095653 0.0801429823041 0.0224422272295
153.0  0.0795774683356 0.000422934012022 0.0838595032692 0.0225823409855
154.0  0.0795774683356 0.000421199481934 0.0877948850393 0.0227195303887
155.0  0.0795774683356 0.000419539399445 0.0919597148895 0.0228535626084
156.0  0.0795774683356 0.000417952571297 0.0963642597198 0.0229842178524
157.0  0.0795774683356 0.000416438066168 0.10101763159 0.0231112744659
158.0  0.0795774683356 0.000414994865423 0.10592789948 0.0232345294207
159.0  0.0795774683356 0.00041362203774 0.111101068556 0.0233537759632
160.0  0.0795774683356 0.000412318710005 0.116540536284 0.0234688203782
161.0  0.0795774683356 0.000411084009102 0.12224663794 0.0235794801265
162.0  0.0795774683356 0.000409917236539 0.128214910626 0.0236855689436
163.0  0.0795774683356 0.000408817548305 0.134436160326 0.0237869210541
164.0  0.0795774683356 0.000407784304116 0.140894070268 0.0238833706826
165.0  0.0795774683356 0.000406816892792 0.147564977407 0.0239747650921
166.0  0.0795774683356 0.00040591461584 0.154415845871 0.0240609589964
167.0  0.0795774683356 0.000405077007599 0.161403268576 0.0241418126971
168.0  0.0795774683356 0.000404303456889 0.168472290039 0.0242172013968
169.0  0.0795774683356 0.000403593556257 0.175555452704 0.0242870040238
170.0  0.0795774683356 0.00040294684004 0.182572335005 0.0243511069566
171.0  0.0795774683356 0.000402362871682 0.189430549741 0.0244094152004
172.0  0.0795774683356 0.000401841389248 0.196025371552 0.0244618318975
173.0  0.0795774683356 0.000401381956181 0.202243700624 0.0245082788169
174.0  0.0795774683356 0.000400984368753 0.207965388894 0.0245486795902
175.0  0.0795774683356 0.000400648335926 0.213069424033 0.0245829727501
176.0  0.0795774683356 0.000400373712182 0.217438071966 0.0246111061424
177.0  0.0795774683356 0.000400160293793 0.220963403583 0.0246330313385
178.0  0.0795774683356 0.000400007906137 0.223553046584 0.0246487166733
179.0  0.0795774683356 0.000399916520109 0.225136592984 0.0246581379324
180.0  0.0795774683356 0.000399886077503 0.225669443607 0.0246612802148
