0.0  0.0795774683356 15.8332614899 7.92365217209 9324.98144531
1.0  0.0795774683356 3.9436852932 1.9788646698 32.0493125916
2.0  0.0795774683356 1.21240746975 0.613227367401 14.9173688889
3.0  0.0795774683356 0.562860131264 0.288456261158 8.72456932068
4.0  0.0795774683356 0.321662157774 0.167860910296 5.70006799698
5.0  0.0795774683356 0.207426160574 0.110747590661 3.99080014229
6.0  0.0795774683356 0.144664600492 0.0793725252151 2.93322205544
7.0  0.0795774683356 0.106577694416 0.0603358335793 2.23612737656
8.0  0.0795774683356 0.0817582756281 0.0479339398444 1.75436258316
9.0  0.0795774683356 0.0646968632936 0.0394121035933 1.4088332653
10.0  0.0795774683356 0.0524704344571 0.0333088189363 1.15346717834
11.0  0.0795774683356 0.0434120334685 0.0287906136364 0.959985077381
12.0  0.0795774683356 0.0365153849125 0.0253543592989 0.810279607773
13.0  0.0795774683356 0.031144015491 0.022681824863 0.692341089249
14.0  0.0795774683356 0.0268794521689 0.0205637812614 0.597963988781
15.0  0.0795774683356 0.0234373435378 0.0188580602407 0.521397233009
16.0  0.0795774683356 0.0206191446632 0.0174654014409 0.458519846201
17.0  0.0795774683356 0.0182827543467 0.0163147598505 0.406320363283
18.0  0.0795774683356 0.016324300319 0.0153542133048 0.362560063601
19.0  0.0795774683356 0.0146664883941 0.0145451249555 0.325549036264
20.0  0.0795774683356 0.0132508315146 0.0138582624495 0.293993502855
21.0  0.0795774683356 0.0120323607698 0.0132711548358 0.26689055562
22.0  0.0795774683356 0.010976110585 0.0127663332969 0.243454098701
23.0  0.0795774683356 0.0100545082241 0.0123300235718 0.223061233759
24.0  0.0795774683356 0.00924561079592 0.0119512714446 0.205213785172
25.0  0.0795774683356 0.00853177718818 0.0116212712601 0.189509913325
26.0  0.0795774683356 0.00789867993444 0.0113328751177 0.17562264204
27.0  0.0795774683356 0.00733458483592 0.0110802352428 0.16328407824
28.0  0.0795774683356 0.00682982243598 0.010858533904 0.152273148298
29.0  0.0795774683356 0.00637636054307 0.0106637738645 0.142406195402
30.0  0.0795774683356 0.00596748106182 0.0104926172644 0.133529767394
31.0  0.0795774683356 0.00559752481058 0.010342256166 0.125514909625
32.0  0.0795774683356 0.00526170805097 0.0102103203535 0.118252649903
33.0  0.0795774683356 0.00495595810935 0.0100947953761 0.111650466919
34.0  0.0795774683356 0.00467679370195 0.00999396666884 0.105629481375
35.0  0.0795774683356 0.00442122295499 0.00990636274219 0.100122019649
36.0  0.0795774683356 0.00418665865436 0.00983071699739 0.0950699225068
37.0  0.0795774683356 0.00397086702287 0.00976593885571 0.0904229432344
